New_Index,Token,Language,Anglicism,Adapted,POS,NE,Lemma,Tag,Exist
1.0,ARTICLE0003,,FALSE,,,,,,left_only
705.0,%,,FALSE,,,,,,left_only
768.0,%,,FALSE,,,,,,left_only
9026.0,%,,FALSE,,,,,,left_only
12523.0,%,,FALSE,,,,,,left_only
12540.0,%,,FALSE,,,,,,left_only
13307.0,%,,FALSE,,,,,,left_only
1066.0,fraude,,FALSE,,,,,,left_only
1483.0,ARTICLE0005,,FALSE,,,,,,left_only
1514.0,ROMA,,FALSE,,,,,,left_only
1669.0,judíos,,FALSE,,,,,,left_only
1731.0,hubo,,FALSE,,,,,,left_only
1736.0,escenas,,FALSE,,,,,,left_only
2241.0,1922,,FALSE,,,,,,left_only
2529.0,ARTICLE0010,,FALSE,,,,,,left_only
2584.0,LONDRES,,FALSE,,,,,,left_only
3025.0,oficiales,,FALSE,,,,,,left_only
3496.0,ARTICLE0013,,FALSE,,,,,,left_only
3772.0,sorpaso,,FALSE,,,,,,left_only
3776.0,abstenciocracia,,FALSE,,,,,,left_only
4220.0,ARTICLE0024,,FALSE,,,,,,left_only
4223.0,Selfie,,TRUE,False,,,,,left_only
4822.0,ARTICLE0041,,FALSE,,,,,,left_only
6271.0,Dell,,FALSE,,,,,,left_only
6273.0,Arciprette,,FALSE,,,,,,left_only
6693.0,ARTICLE0057,,FALSE,,,,,,left_only
7621.0,ARTICLE0058,,FALSE,,,,,,left_only
7925.0,Hagan,,FALSE,,,,,,left_only
8173.0,Sang,,FALSE,,,,,,left_only
8576.0,colateral,,FALSE,,,,,,left_only
8804.0,ARTICLE0069,,FALSE,,,,,,left_only
8806.0,Alivio,,FALSE,,,,,,left_only
8811.0,shopping,,TRUE,False,,,,,left_only
8840.0,YORK,,FALSE,,,,,,left_only
9025.0,65,,FALSE,,,,,,left_only
9985.0,ARTICLE0075,,FALSE,,,,,,left_only
11239.0,Larrysanger,,FALSE,,,,,,left_only
11241.0,org,,FALSE,,,,,,left_only
11601.0,,,FALSE,,,,,,left_only
11889.0,,,FALSE,,,,,,left_only
12070.0,Educ,,FALSE,,,,,,left_only
12094.0,Educ,,FALSE,,,,,,left_only
12072.0,ar,,FALSE,,,,,,left_only
12096.0,ar,,FALSE,,,,,,left_only
12539.0,25,,FALSE,,,,,,left_only
13306.0,"12,8",,FALSE,,,,,,left_only
,"ARTICLE0003,""Qué",,,,INTJ,O,"ARTICLE0003,""Qué",PROPN,right_only
,-un,,,,DET,O,-un,DET__Definite=Ind|Gender=Masc|Number=Sing|PronType=Art,right_only
,-un,,,,ADP,O,-un,ADP__AdpType=Preppron,right_only
,paternidad)-,,,,INTJ,O,paternidad)-,PROPN,right_only
,80%,,,,SYM,O,80%,SYM__NumForm=Digit|NumType=Frac,right_only
,15%,,,,SYM,O,15%,SYM__NumForm=Digit|NumType=Frac,right_only
,-siendo,,,,AUX,O,-siendo,AUX__VerbForm=Ger,right_only
,década-,,,,NOUN,O,década-,NOUN__AdvType=Tim,right_only
,"fraude""gracias",,,,NOUN,O,"fraude""gracias",NOUN__AdvType=Tim,right_only
,"ARTICLE0005,El",,,,INTJ,B,"ARTICLE0005,El",PROPN,right_only
,"Italia,""Sono",,,,INTJ,O,"Italia,""Sono",PROPN,right_only
,ROMA.-,,,,INTJ,B,ROMA.-,PROPN,right_only
,-la,,,,DET,O,-la,DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art,right_only
,judíos-,,,,INTJ,O,judíos-,PROPN,right_only
,-hubo,,,,NUM,O,-hubo,NUM__NumForm=Digit|NumType=Card,right_only
,escenas-,,,,INTJ,O,escenas-,PROPN,right_only
,-que,,,,SCONJ,O,-que,"PRON__PronType=Int,Rel",right_only
,1922-,,,,NUM,O,1922-,NUM__NumForm=Digit|NumType=Card,right_only
,"ARTICLE0010,El",,,,ADJ,B,"ARTICLE0010,El",ADJ__Number=Sing,right_only
,"británico,""Esta",,,,ADJ,O,"británico,""Esta",ADJ__Gender=Fem|Number=Sing|VerbForm=Part,right_only
