Token,Adapted,EngCategory,POS,NE
ARTICLE0003,_,_,PROPN,B
",",_,_,PUNCT,O
",",_,_,PUNCT,I
"""",_,_,PUNCT,O
"""",_,_,PUNCT,I
Qué,_,_,PRON,B
Qué,_,_,DET,B
es,_,_,AUX,O
es,_,_,AUX,I
es,_,_,NOUN,O
el,_,_,DET,O
el,_,_,DET,I
el,_,_,DET,B
sharenting,false,Insertion,PROPN,O
sharenting,_,_,PROPN,O
y,_,_,CONJ,O
y,_,_,CONJ,I
por,_,_,ADP,O
por,_,_,ADP,I
qué,_,_,PRON,O
qué,_,_,DET,O
qué,_,_,PRON,I
un,_,_,DET,O
un,_,_,DET,I
problema,_,_,NOUN,O
problema,_,_,NOUN,I
moderno,_,_,ADJ,O
de,_,_,ADP,O
de,_,_,ADP,I
la,_,_,DET,O
la,_,_,DET,I
la,_,_,PRON,O
la,_,_,DET,B
la,_,_,PRON,I
paternidad,_,_,NOUN,O
¿,_,_,PUNCT,O
¿,_,_,PUNCT,B
Cuánto,_,_,PRON,B
compartes,_,_,NOUN,O
en,_,_,ADP,O
en,_,_,ADP,I
internet,_,_,NOUN,O
internet,_,_,PROPN,O
internet,false,Insertion,NOUN,O
internet,false,Insertion,PROPN,O
sobre,_,_,ADP,O
sobre,_,_,ADP,I
vida,_,_,NOUN,O
vida,_,_,NOUN,I
tus,_,_,DET,O
hijos,_,_,NOUN,O
?,_,_,PUNCT,O
?,_,_,PUNCT,I
Y,_,_,CONJ,O
Y,_,_,CONJ,B
hasta,_,_,ADP,O
hasta,_,_,ADV,O
hasta,_,_,ADP,I
punto,_,_,NOUN,O
quieres,_,_,ADJ,O
ver,_,_,VERB,O
ver,_,_,VERB,I
ver,_,_,NOUN,O
ver,_,_,PROPN,O
información,_,_,NOUN,O
información,_,_,NOUN,I
los,_,_,DET,O
los,_,_,DET,I
los,_,_,DET,B
los,_,_,PRON,O
los,_,_,PRON,I
demás,_,_,PRON,O
las,_,_,DET,O
las,_,_,PRON,O
las,_,_,DET,I
redes,_,_,NOUN,O
sociales,_,_,ADJ,O
El,_,_,DET,O
El,_,_,DET,B
-,_,_,PUNCT,O
anglicismo,_,_,NOUN,O
que,_,_,PRON,O
que,_,_,SCONJ,O
que,_,_,SCONJ,I
que,_,_,PRON,I
proviene,_,_,VERB,O
share,false,Insertion,PROPN,O
(,_,_,PUNCT,O
(,false[32],Named Entity[32],PUNCT,O
compartir,_,_,VERB,O
),_,_,PUNCT,O
),false[32],Named Entity[32],PUNCT,O
parenting,false,Insertion,PROPN,O
consiste,_,_,VERB,O
documentar,_,_,VERB,O
primeras,_,_,ADJ,O
sonrisas,_,_,NOUN,O
palabras,_,_,NOUN,O
palabras,_,_,NOUN,I
pasos,_,_,NOUN,O
pasos,_,_,NOUN,I
.,_,_,PUNCT,O
.,_,_,PUNCT,I
cada,_,_,DET,O
cada,_,_,DET,I
una,_,_,PRON,O
una,_,_,DET,O
una,_,_,DET,I
anécdotas,_,_,NOUN,O
más,_,_,ADV,O
más,_,_,ADV,I
pequeños,_,_,ADJ,O
Facebook,false,Named Entity,PROPN,B
Facebook,false,Named Entity,PROPN,I
Facebook,_,_,PROPN,B
Facebook,_,_,PROPN,I
Instagram,false,Named Entity,PROPN,B
Instagram,_,_,PROPN,B
otras,_,_,DET,O
otras,_,_,DET,I
otras,_,_,PRON,O
se,_,_,PRON,O
se,_,_,PRON,I
ha,_,_,AUX,O
