Token,Language
a,Spn
abajo,Spn
abandonado,Spn
abandonar,Spn
abandono,Spn
abanico,Spn
abarcar,Spn
abeja,Spn
abiertamente,Spn
abierto,Spn
abismo,Spn
abogado,Spn
abordar,Spn
abrazar,Spn
abrazo,Spn
abrigo,Spn
abril,Spn
abrir,Spn
absolutamente,Spn
absoluto,Spn
absorber,Spn
abstracción,Spn
abstracto,Spn
absurdo,Spn
abuela,Spn
abuelo,Spn
abundancia,Spn
abundante,Spn
abundar,Spn
aburrido,Spn
aburrimiento,Spn
aburrir,Spn
abusar,Spn
abuso,Spn
acá,Spn
acabar,Spn
academia,Spn
académico,Spn
acariciar,Spn
acarrear,Spn
acaso,Spn
acatar,Spn
acceder,Spn
accesible,Spn
acceso,Spn
accidente,Spn
acción,Spn
aceite,Spn
acelerado,Spn
acelerar,Spn
acento,Spn
acentuar,Spn
aceptable,Spn
aceptación,Spn
aceptar,Spn
acera,Spn
acerca,Spn
acercamiento,Spn
acercar,Spn
acero,Spn
acertado,Spn
acertar,Spn
ácido,Spn
acierto,Spn
aclarar,Spn
acoger,Spn
acomodado,Spn
acomodar,Spn
acompañar,Spn
aconsejar,Spn
acontecer,Spn
acontecimiento,Spn
acordar,Spn
acorde,Spn
acostar,Spn
acostumbrado,Spn
acostumbrar,Spn
acta,Spn
actitud,Spn
actividad,Spn
activo,Spn
acto,Spn
actor,Spn
actriz,Spn
actuación,Spn
actual,Spn
actualidad,Spn
actualmente,Spn
actuar,Spn
acudir,Spn
acuerdo,Spn
acumulación,Spn
acumular,Spn
acusación,Spn
acusar,Spn
adaptación,Spn
adaptar,Spn
adecuado,Spn
adelantar,Spn
adelante,Spn
adelanto,Spn
además,Spn
adentrar,Spn
adentro,Spn
adherir,Spn
adhesión,Spn
adicional,Spn
adiós,Spn
adivinar,Spn
adjetivo,Spn
administración,Spn
administrador,Spn
administrar,Spn
administrativo,Spn
admirable,Spn
admiración,Spn
admirador,Spn
admirar,Spn
admitir,Spn
adolescencia,Spn
adolescente,Spn
adonde,Spn
adónde,Spn
adoptar,Spn
adorar,Spn
adornar,Spn
adorno,Spn
adquirir,Spn
adquisición,Spn
adulto,Spn
adversario,Spn
advertencia,Spn
advertir,Spn
aéreo,Spn
aeropuerto,Spn
afán,Spn
afectar,Spn
afecto,Spn
aferrar,Spn
afición,Spn
aficionado,Spn
afín,Spn
afirmación,Spn
afirmar,Spn
aflojar,Spn
afortunadamente,Spn
afortunado,Spn
africano,Spn
