Token,POS,NE,Lemma,Tag,Language_x,Candidate,Anglicism_x,Language_y,Anglicism_y,Exist
﻿27,PROPN,B,﻿27,PROPN___,PROPN,False,False,,,left_only
27. 000,NUM,O,27. 000,Number,NUM,False,False,,,left_only
27. 000,NUM,O,27. 000,Number,NUM,False,False,,,left_only
16. 30,NUM,O,16. 30,Number,NUM,False,False,,,left_only
16. 30,NUM,O,16. 30,Number,NUM,False,False,,,left_only
8. 274,NUM,O,8. 274,Number,NUM,False,False,,,left_only
13. 000,NUM,O,13. 000,Number,NUM,False,False,,,left_only
C5N,PROPN,B,C5N,PROPN___,PROPN,False,False,,,left_only
"19, 1",NUM,O,"19, 1",Number,NUM,False,False,,,left_only
"15, 3",NUM,O,"15, 3",Number,NUM,False,False,,,left_only
"16, 4",NUM,O,"16, 4",Number,NUM,False,False,,,left_only
S,PROPN,I,S,PROPN___,PROPN,False,False,,,left_only
S,PROPN,I,S,PROPN___,PROPN,False,False,,,left_only
S,PROPN,I,S,PROPN___,PROPN,False,False,,,left_only
10. 000,NUM,O,10. 000,Number,NUM,False,False,,,left_only
10. 000,NUM,O,10. 000,Number,NUM,False,False,,,left_only
P,PROPN,I,P,PROPN___,PROPN,False,False,,,left_only
"37, 500",NUM,O,"37, 500",Number,NUM,False,False,,,left_only
60. 000,NUM,O,60. 000,Number,NUM,False,False,,,left_only
"1, 67",NUM,O,"1, 67",Number,NUM,False,False,,,left_only
Sr,PROPN,B,Sr,PROPN___,PROPN,False,False,,,left_only
35. 000,NUM,O,35. 000,Number,NUM,False,False,,,left_only
180. 000,NUM,O,180. 000,Number,NUM,False,False,,,left_only
3. 500,NUM,O,3. 500,Number,NUM,False,False,,,left_only
"2, 5",NUM,O,"2, 5",Number,NUM,False,False,,,left_only
"2, 5",NUM,O,"2, 5",Number,NUM,False,False,,,left_only
2. 000,NUM,O,2. 000,Number,NUM,False,False,,,left_only
22. 30,NUM,O,22. 30,Number,NUM,False,False,,,left_only
22. 30,NUM,O,22. 30,Number,NUM,False,False,,,left_only
21. 30,NUM,O,21. 30,Number,NUM,False,False,,,left_only
W,PROPN,I,W,PROPN___,PROPN,False,False,,,left_only
20. 15,NUM,O,20. 15,Number,NUM,False,False,,,left_only
"1, 220",NUM,O,"1, 220",Number,NUM,False,False,,,left_only
"1, 183",NUM,O,"1, 183",Number,NUM,False,False,,,left_only
"1, 170",NUM,O,"1, 170",Number,NUM,False,False,,,left_only
"1, 060",NUM,O,"1, 060",Number,NUM,False,False,,,left_only
16. 10,NUM,O,16. 10,Number,NUM,False,False,,,left_only
"1, 26",NUM,O,"1, 26",Number,NUM,False,False,,,left_only
"1, 69",NUM,O,"1, 69",Number,NUM,False,False,,,left_only
16. 24,NUM,O,16. 24,Number,NUM,False,False,,,left_only
130. 000,NUM,O,130. 000,Number,NUM,False,False,,,left_only
27. 860,NUM,O,27. 860,Number,NUM,False,False,,,left_only
"4, 3",NUM,O,"4, 3",Number,NUM,False,False,,,left_only
28. 100,NUM,O,28. 100,Number,NUM,False,False,,,left_only
27. 520,NUM,O,27. 520,Number,NUM,False,False,,,left_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
000,,,,,,,,NUM,no,right_only
votos,,,,,,,,Spn,no,right_only
votos,,,,,,,,Spn,no,right_only
274,,,,,,,,NUM,no,right_only
C5N.,,,,,,,,X,no,right_only
S.,,,,,,,,X,no,right_only
S.,,,,,,,,X,no,right_only
S.,,,,,,,,X,no,right_only
A.,,,,,,,,X,no,right_only
A.,,,,,,,,X,no,right_only
A.,,,,,,,,X,no,right_only
P.,,,,,,,,Spn,no,right_only
Publicado,,,,,,,,Spn,no,right_only
Sr.,,,,,,,,Spn,no,right_only
35,,,,,,,,NUM,no,right_only
):,,,,,,,,PUNCT,no,right_only
180,,,,,,,,NUM,no,right_only
W.,,,,,,,,Eng-NE,no,right_only
220,,,,,,,,NUM,no,right_only
183,,,,,,,,NUM,no,right_only
170,,,,,,,,NUM,no,right_only
060,,,,,,,,NUM,no,right_only
130,,,,,,,,NUM,no,right_only
860,,,,,,,,NUM,no,right_only
28,,,,,,,,NUM,no,right_only
520,,,,,,,,NUM,no,right_only
Agencias,,,,,,,,Spn,no,right_only
05,,,,,,,,NUM,no,right_only
45Daddy,,,,,,,,X,no,right_only
