id,text,meta,annotation_approver,labels,section
6227,"'Selfies' en 3D, el arte de imprimir a tu suegra en un muñeco antiestrés",{},,"[[1, 8, 'ENG']]",technology
6247,"El brexit, bajo el microscopio",{},,"[[3, 9, 'ENG']]",technology
6266,"‘Wearables’, robots y coches del futuro: diez tecnologías del CES 2016 que debe conocer todo CIO",{},,"[[1, 10, 'ENG']]",technology
6270,Un empresario australiano le dice a la BBC que él creó el bitcoin,{},,"[[58, 65, 'ENG']]",technology
6272,Díaz Ferrán gastó 47.900 euros en restaurantes de Arturo Fernández con su tarjeta 'black',{},,"[[83, 88, 'ENG']]",economy
6287,Los otros 'techies': esta fotógrafa activista retrata el Silicon Valley más diverso,{},,"[[11, 18, 'ENG']]",technology
6289,'Crowdfunding' para financiar familias,{},,"[[1, 13, 'ENG']]",technology
6296,El abogado que defiende a Deliveroo frente a sus 'riders' fue jefe de inspectores de Trabajo en Madrid,{},,"[[50, 56, 'ENG']]",economy
6302,Más de la mitad de las 'apps' son un negocio ruinoso (tanto en Android como en iOS),{},,"[[24, 28, 'ENG']]",technology
6303,Las socimis crean un lobby en España para defender sus intereses de manera conjunta,{},,"[[21, 26, 'ENG']]",economy
6341,"Oristrell ficha al 'Rancio' de ""La que se avecina"" para una serie de TV online",{},,"[[72, 78, 'ENG']]",tv
6351,"La burbuja de los 'wearables', de tu muñeca al cajón del olvido",{},,"[[19, 28, 'ENG']]",technology
6352,¿Cuánto oro hay en tu móvil? Descubre los valiosos materiales que se esconden en tu 'smartphone',{},,"[[85, 95, 'ENG']]",technology
6371,Londres se tambalea como sede de las 'fintech' por el Brexit,{},,"[[38, 45, 'ENG']]",economy
6384,"Estrellas, corazones y aplausos: los símbolos del negocio del 'like' en internet",{},,"[[63, 67, 'ENG']]",technology
6414,Pesadilla en Moncloa street,{},,"[[21, 27, 'ENG']]",opinion
6449,La Lista Robinson: haciendo naufragar al 'spam' publicitario desde hace 25 años,{},,"[[42, 46, 'ENG']]",technology
6461,Los 'surfers' de Yahoo: cómo unos libreros conquistaron el Salvaje Oeste de internet,{},,"[[5, 12, 'ENG']]",technology
6484,Dos emails negaron problemas en Bankia-BFA justo antes de su nacionalización,{},,"[[4, 10, 'ENG']]",economy
6485,Salud y ecología: estas son las ‘startups’ españolas más prometedoras de Europa,{},,"[[33, 41, 'ENG']]",technology
6502,El BCE avisa del riesgo de los CLO: un producto que mueven los fondos similar a las subprime que causaron la crisis de 2008,{},admin,"[[84, 92, 'ENG']]",economy
6512,'Crowdfunding' erótico: los secretos (confesables) de una web que ofrece recompensas picantes,{},,"[[1, 13, 'ENG']]",technology
6547,"""Ella siempre protege el reality"": nuevo tráiler de la 3ª de UnReal",{},,"[[25, 32, 'ENG']]",tv
6554,"Este ""polígrafo"" no miente: tu 'app' está mal diseñada porque ignoraste al usuario",{},,"[[32, 35, 'ENG']]",technology
6557,¿Te apetece comer algo fresco? Prepara esta ensalada de aguacate y tomate cherry con vinagreta de mostaza,{},,"[[74, 80, 'ENG']]",lifestyle
6558,El 'crowdlending' entra en escena: qué es y cómo se monta una plataforma de préstamos participativos,{},,"[[4, 16, 'ENG']]",economy
6567,Manual de 'compliance' para rijosos,{},,"[[11, 21, 'ENG']]",opinion
6589,La Agencia Tributaria lanza una app para hacer la declaración de la renta este año,{},,"[[32, 35, 'ENG']]",economy
6598,Productor y víctimas de 'The Walking Dead' hablan tras la resolución del cliffhanger,{},,"[[73, 84, 'ENG']]",tv
6615,"El tsunami en Japón otorga récords del curso a Ana Blanco, Manu Carreño y canal 24H",{},,"[[3, 10, 'OTHER']]",tv
6618,"Quiero dejar el plástico, pero no puedo: el tortuoso caso de los 'reyes' del tupper a domicilio",{},,"[[77, 83, 'ENG']]",economy
6665,Rosalía paraliza Madrid con un concierto que la consagra como la diva del pop 'millennial',{},,"[[79, 89, 'ENG']]",music
6685,"El España-USA (45%), partido de basket más visto de la historia, y la gala de clausura (30%) de los JJOO barren en TVE",{},,"[[32, 38, 'ENG']]",tv
6690,La sentencia del procés nos condena a la España eterna,{},,"[[17, 23, 'OTHER']]",opinion
6711,Diez proyectos alucinantes que demuestran el poder del ‘big data’,{},,"[[56, 64, 'ENG']]",technology
6714,"Volkswagen cierra acuerdo con franquicias en EEUU por el ""dieselgate""",{},admin,"[[58, 68, 'ENG']]",economy
6734,Barricadas incendiadas con senyeras y rojigualdas,{},,"[[27, 35, 'OTHER']]",opinion
6747,"Las apps para aprender idiomas, ¿dan resultado?",{},,"[[4, 8, 'ENG']]",lifestyle
6760,El 'streaming' impulsa el mayor crecimiento de la industria musical en 20 años,{},,"[[4, 13, 'ENG']]",music
