New_Index,Token,Language,Anglicism,Adapted,POS,NE,Lemma,Tag,Exist
1.0,ARTICLE0003,,FALSE,,,,,,left_only
705.0,%,,FALSE,,,,,,left_only
768.0,%,,FALSE,,,,,,left_only
9026.0,%,,FALSE,,,,,,left_only
12523.0,%,,FALSE,,,,,,left_only
12540.0,%,,FALSE,,,,,,left_only
13307.0,%,,FALSE,,,,,,left_only
1066.0,fraude,,FALSE,,,,,,left_only
1483.0,ARTICLE0005,,FALSE,,,,,,left_only
2529.0,ARTICLE0010,,FALSE,,,,,,left_only
3496.0,ARTICLE0013,,FALSE,,,,,,left_only
3772.0,sorpaso,,FALSE,,,,,,left_only
3776.0,abstenciocracia,,FALSE,,,,,,left_only
4220.0,ARTICLE0024,,FALSE,,,,,,left_only
4223.0,Selfie,,TRUE,False,,,,,left_only
4822.0,ARTICLE0041,,FALSE,,,,,,left_only
5975.0,/,,FALSE,,,,,,left_only
12179.0,/,,FALSE,,,,,,left_only
6271.0,Dell,,FALSE,,,,,,left_only
6273.0,Arciprette,,FALSE,,,,,,left_only
6693.0,ARTICLE0057,,FALSE,,,,,,left_only
7621.0,ARTICLE0058,,FALSE,,,,,,left_only
7925.0,Hagan,,FALSE,,,,,,left_only
8784.0,Continuará,,FALSE,,,,,,left_only
8786.0,C,,FALSE,,,,,,left_only
8804.0,ARTICLE0069,,FALSE,,,,,,left_only
8806.0,Alivio,,FALSE,,,,,,left_only
8811.0,shopping,,TRUE,False,,,,,left_only
9025.0,65,,FALSE,,,,,,left_only
9985.0,ARTICLE0075,,FALSE,,,,,,left_only
11239.0,Larrysanger,,FALSE,,,,,,left_only
11241.0,org,,FALSE,,,,,,left_only
11601.0,,,FALSE,,,,,,left_only
11889.0,,,FALSE,,,,,,left_only
12070.0,Educ,,FALSE,,,,,,left_only
12094.0,Educ,,FALSE,,,,,,left_only
12072.0,ar,,FALSE,,,,,,left_only
12096.0,ar,,FALSE,,,,,,left_only
12180.0,abierto,,FALSE,,,,,,left_only
12539.0,25,,FALSE,,,,,,left_only
13306.0,"12,8",,FALSE,,,,,,left_only
,"ARTICLE0003,""Qué",,,,INTJ,O,"ARTICLE0003,""Qué",PROPN,right_only
,80%,,,,SYM,O,80%,SYM__NumForm=Digit|NumType=Frac,right_only
,15%,,,,SYM,O,15%,SYM__NumForm=Digit|NumType=Frac,right_only
,"fraude""gracias",,,,NOUN,O,"fraude""gracias",NOUN__AdvType=Tim,right_only
,"ARTICLE0005,El",,,,INTJ,B,"ARTICLE0005,El",PROPN,right_only
,"Italia,""Sono",,,,INTJ,O,"Italia,""Sono",PROPN,right_only
,"ARTICLE0010,El",,,,ADJ,B,"ARTICLE0010,El",ADJ__Number=Sing,right_only
,"británico,""Esta",,,,ADJ,O,"británico,""Esta",ADJ__Gender=Fem|Number=Sing|VerbForm=Part,right_only
,"ARTICLE0013,""Populismo",,,,INTJ,B,"ARTICLE0013,""Populismo",NOUN,right_only
,"año"",""El",,,,INTJ,O,"año"",""El",PROPN,right_only
,"sorpaso"",""abstenciocracia",,,,INTJ,O,"sorpaso"",""abstenciocracia",PROPN,right_only
,"ARTICLE0024,""Selfie",,,,INTJ,O,"ARTICLE0024,""Selfie",PROPN,right_only
,"ARTICLE0041,Perros",,,,ADJ,O,"ARTICLE0041,Perros",ADJ__Gender=Masc|Number=Plur,right_only
,"laboral,""La",,,,INTJ,O,"laboral,""La",PROPN,right_only
,trabajo/casa,,,,ADJ,O,trabajo/casa,ADJ__Gender=Masc|Number=Sing,right_only
,Dell'Arciprette,,,,INTJ,I,Dell'Arciprette,PROPN,right_only
,"ARTICLE0057,La",,,,INTJ,O,"ARTICLE0057,La",PROPN,right_only
,"sushi,""Carolina",,,,INTJ,O,"sushi,""Carolina",PROPN,right_only
,"ARTICLE0058,Borrador",,,,ADJ,O,"ARTICLE0058,Borrador",ADJ__Gender=Masc|Number=Sing,right_only
,"vida,""En",,,,INTJ,O,"vida,""En",PROPN,right_only
,O'Hagan,,,,INTJ,I,O'Hagan,PROPN,right_only
,Continuará.C,,,,INTJ,B,Continuará.C,PROPN,right_only
,"ARTICLE0069,Alivio",,,,NOUN,O,"ARTICLE0069,Alivio",NOUN__Gender=Masc|Number=Sing,right_only
,"shopping,""Un",,,,INTJ,O,"shopping,""Un",PROPN,right_only
,65%,,,,SYM,I,65%,SYM__NumForm=Digit|NumType=Frac,right_only
,"ARTICLE0075,""Jimmy",,,,INTJ,B,"ARTICLE0075,""Jimmy",PROPN,right_only
,"Wikipedia"",""Creo",,,,INTJ,O,"Wikipedia"",""Creo",PROPN,right_only
,Larrysanger.org,,,,INTJ,B,Larrysanger.org,URL,right_only
,Wales?,,,,INTJ,O,Wales?,PROPN,right_only
,entonces?,,,,INTJ,O,entonces?,PROPN,right_only
,Educ.ar,,,,INTJ,B,Educ.ar,URL,right_only
,Educ.ar,,,,INTJ,B,Educ.ar,URL,right_only
,libre/abierto,,,,INTJ,O,libre/abierto,PROPN,right_only
,10%,,,,SYM,O,10%,SYM__NumForm=Digit,right_only
,25%,,,,SYM,O,25%,SYM__NumForm=Digit|NumType=Frac,right_only
,"12,8%",,,,SYM,O,"12,8%",SYM__NumForm=Digit|NumType=Frac,right_only
